Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 52	Myxopapillary ependymoma with elevated mitotic index	Myxopapillary ependymoma	
Release 52	"Neuroblastoma (schwannian stroma poor), differentiating (demonstrates neuropil with greater than 5% differentiation of neuroblasts towards ganglion cells), intermediate mitotic karyorrhectic index (MK"	Neuroblastoma	
Release 52	"Neuroblastoma (schwannian stroma poor), poorly differentiated subtype"	Neuroblastoma	
Release 52	"Neuroblastoma (see comment), Low mitotic karyorrhectic index (<2%)"	Neuroblastoma	
Release 52	"Neuroblastoma, poorly differentiated, unfavorable histopathology, as sampled"	Neuroblastoma	
Release 52	"Neuroblastoma, undifferentiated subtype"	Neuroblastoma	
Release 52	"Nonkeratinizing, undifferentiated nasopharyngeal carcinoma"	Nasopharyngeal Carcinoma	
Release 52	"Oligodendroglioma, CNS WHO Grade 3"	"Oligodendroglioma, NOS"	
Release 52	"Oncocytic carcinoma with angioinvasion, 3.0 cm in greatest dimension"	"Carcinoma, NOS"	
Release 52	"Papillary carcinoma, classic type"	"Papillary carcinoma, NOS"	
Release 52	"Papillary thyroid carcinoma, diffuse sclerosing subtype, involving the entire lobe and isthmus with widespread intravascular tumor and tumor presence at inked surgical margins."	Papillary Thyroid Carcinoma	
Release 52	"Papillary thyroid carcinoma, multifocal, involving left and right lobes: left lobe classic subtype, 1.8 x 1.6 x 1.0 cm"	Papillary Thyroid Carcinoma	
Release 52	Paraganglioma/extra-adrenal pheochromocytoma	Pheochromocytoma	
Release 52	Pleomorphic xanthoastrocytoma (CNS WHO grade 3)	Pleomorphic Xanthoastrocytoma	
Release 52	"Pleuropulmonary blastoma, type II"	Pleuropulmonary blastoma	
Release 52	"Poorly differentiated neuroblastoma, unfavorable histopathology, in a limited sample with ~95% necrosis"	Neuroblastoma	
Release 52	Poorly preserved tumour of neural crest origin with features suggesting neuroblastoma	"Neoplasm, NOS"	
Release 52	"Posterior fossa ependymoma, at least CNS WHO Grade 2"	Posterior Fossa Ependymoma	
Release 52	"Retinoblastoma, poorly differentiated, arising in retina and involving vitreous"	Retinoblastoma	
Release 52	"Retinoblastoma, with occasional rosette formation, arising in retina and extending to subretinal RPE space, but not choroid or sclera"	Retinoblastoma	
Release 52	"Rhabdomyosarcoma, 2 cm, margins negative for tumor"	Rhabdomyosarcoma	
Release 52	"Rhabdomyosarcoma, morphologically favor alveolar subtype, 5.3 cm in the greatest dimension"	Rhabdomyosarcoma	
Release 52	Sacrococcygeal myxopapillary ependymoma	Myxopapillary ependymoma	
Release 52	"Schwannoma, intraparenchymal"	Schwannoma	
Release 52	"Small blue cell tumor, PHOX2B positive, consistent with neuroblastoma."	"Neoplasm, NOS"	
Release 52	Small round blue cell patterned malignancy. The morphological and immunohistochemical Features are consistent with Ewing Sarcoma	"Neoplasm, malignant"	
Release 52	Small round blue cell tumor most concerning for medulloblastoma	"Neoplasm, NOS"	
Release 52	Small round blue cell tumor with strong diffuse membranous CD99 staining	"Neoplasm, NOS"	
Release 52	"Small round blue cell tumor, compatible with embryonal tumor"	"Neoplasm, NOS"	
Release 52	"Small round blue cell tumor, favor high-grade neuroendocrine tumor"	"Neoplasm, NOS"	
Release 52	Small round blue cell tumor.	"Neoplasm, NOS"	
Release 52	"SMARCB1/INI-1 deficient malignant neoplasm, most consistent with malignant rhabdoid tumor"	"Neoplasm, malignant"	
Release 52	SMARCB1-deficient tumor with extensive necrosis	"Neoplasm, NOS"	
Release 52	Spindle cell tumor with fibrous component: the differential diagnosis includes a fibrous meningioma and a solitary fibrous tumor	"Neoplasm, NOS"	
Release 52	Tumor present	"Neoplasm, NOS"	
Release 52	"Undifferentiated neuroblastoma, with high MKI"	Neuroblastoma	
Release 52	"Undifferentiated small round cell tumor, involving bone and soft tissue"	"Neoplasm, NOS"	
Release 53	"Astrocytoma, IDH mutation, CNS WHO Grade 3"	"Astrocytoma, IDH-mutant"	
Release 53	"Chorioid plexus papilloma, WHO grade 1"	Choroid plexus papilloma	
Release 53	Classic papillary thyroid carcinoma (see CAP synoptic)	Papillary Thyroid Carcinoma	
Release 53	Colonic adenocarcinoma invasive through the bowel wall into subserosal adipose tissue	Adenocarcinoma	
Release 53	Compatible with mixed germ cell tumor (seminoma/teratoma)	Unknown	
Release 53	Consistent with Ewing's sarcoma	Unknown	
Release 53	Consistent with gardner fibroma	Unknown	
Release 53	Consistent with metastatic neuroblastoma	Unknown	
Release 53	"Diffuse intrinsic pontine glioma, H3 K27-altered, WHO grade 4 of 4"	Diffuse intrinsic pontine glioma	
Release 53	"Diffuse midline glioma, H3 K27 altered, CNS WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 53	"Embryonal rhabdomyosarcoma (5.5 cm), involving paratesticular soft tissue"	Embryonal Rhabdomyosarcoma	
Release 53	Favor poorly differentiated neuroblastoma	Unknown	
Release 53	"Ganglioneuroblastoma, nodular subtype"	Ganglioneuroblastoma	
Release 53	"Ganglioneuroblastoma, nodular, composite"	Ganglioneuroblastoma	
Release 53	"Glial neoplasm, favor ependymoma, with mitotic activity"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 53	"Glial neoplasm, pending additional molecular analysis"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 53	Glioma with high grade features by histopathology	"High-grade glioma, NOS or NEC"	
Release 53	"Glioma with high grade features, further classification pending molecular analysis."	"High-grade glioma, NOS or NEC"	
Release 53	Glioma with high-grade morphologic features	"High-grade glioma, NOS or NEC"	
Release 53	Granular cell tumor	"Granular cell tumor, NOS"	
Release 53	High grade adenocarcinoma with yolk sac differentiation	Adenocarcinoma	
Release 53	High grade poorly differentiated neoplasm	"Neoplasm, malignant"	
Release 53	"High grade tumor with glial differentiation and ependymal-like morphology, molecular profiling required for further classification"	"Neoplasm, malignant"	
Release 53	High-grade glioma with evidence of neuronal differentiation	"High-grade glioma, NOS or NEC"	
Release 53	High-grade glioma with giant cells	"High-grade glioma, NOS or NEC"	
Release 53	"Histologic findings consistent with pilocytic astrocytoma, CNS WHO grade 1"	Unknown	
Release 53	"Infantile glioma/astrocytoma, with patchy increased mitotic / proliferation indices"	"Astrocytoma, NOS"	
Release 53	"Low grade astrocytoma, favor pilocytic astrocytoma, CNS WHO Grade 1"	"Astrocytoma, NOS"	
Release 53	"Low grade glial / glioneuronal tumor, pending ancillary testing"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 53	"Low grade glial/ glioneuronal tumour, favour ganglioglioma , CNS WHO Grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 53	"Low grade glial/glioneuronal tumor, with morphological features favoring Dysembryoplastic neuroepithelial tumor, CNS WHO grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 53	"Low grade glioma with morphological features consistent with pilocytic astrocytoma, CNS WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 53	Low grade neoplasm with glial differentiation	"Neoplasm, NOS"	
Release 53	"Low-grade glioma consistent with pilocytic astrocytoma, WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 53	Low-grade glioma with mismatch repair deficiency	"Low-grade glioma, NOS or NEC"	
Release 53	"Low-grade glioma, most consistent with pleomorphic xanthoastrocytoma, WHO GRADE 2"	"Low-grade glioma, NOS or NEC"	
Release 53	"Malignant neoplasm, favor pleuropulmonary blastoma, molecular studies pending"	"Neoplasm, malignant"	
Release 53	Marrow replaced by metastatic neuroblastoma	Neuroblastoma	
Release 53	Medulloblastoma by morphology	Medulloblastoma	
Release 53	Medulloblastoma with melanotic differentiation	Medulloblastoma	
Release 53	"Medulloblastoma with slight to moderate anaplasia, non-WNT/non-SHH, WHO GRADE 4"	"Medulloblastoma, non-WNT/non-SHH"	
Release 53	"Medulloblastoma WNT activated, by immunohistochemistry CNS WHO grade 4, p53 wild-type by immunohistochemistry"	"Medulloblastoma, WNT-activated"	
Release 53	"Medulloblastoma, classic morphology, CNS WHO grade 4"	Medulloblastoma	
Release 53	"Medulloblastoma, CNS WHO (2021) Grade 4"	Medulloblastoma	
Release 53	"Medulloblastoma, non-WNT / non-SHH, CNS WHO grade 4"	"Medulloblastoma, non-WNT/non-SHH"	
Release 53	"Medulloblastoma, NOS (CNS WHO Grade IV)"	Medulloblastoma	
Release 53	"Medulloblastoma, SHH-activated and TP53-wildtype Subtype: SHH-1"	"Medulloblastoma, SHH-activated and TP53-wildtype"	
Release 53	"Medulloblastoma, WNT activated subtype by immunohistochemistry, WHO CNS Grade 4"	"Medulloblastoma, WNT-activated"	
Release 53	"Metastatic goblet cell adenocarcinoma, grade 3 with extensive high grade features"	"Adenocarcinoma, metastatic, NOS"	
Release 53	"Multifocal papillary thyroid carcinoma, predominantly infiltrative follicular variant with some classical variant"	Papillary Thyroid Carcinoma	
Release 53	"Myxoid liposarcoma, low grade, pT1"	Myxoid liposarcoma	
Release 53	Myxoid pleomorphic liposarcoma	Pleomorphic liposarcoma	
Release 53	"Neuroblastic tumor, predominantly neuroblastoma, poorly differentiated, low MKI, overall unfavorable histology"	Neuroblastoma	
Release 53	Neuroblastoma (Schwannian stroma poor)- Undifferentiated subtype	Neuroblastoma	
Release 53	Neuroblastoma with necrosis and degenerative changes	Neuroblastoma	
Release 53	"Neuroblastoma, poorly differentiated subtype, low MKI, unfavorable histopathology."	Neuroblastoma	
Release 53	"Neuroblastoma, poorly differentiated with low MKI, favorable histology in this specimen"	Neuroblastoma	
Release 53	"Neuroblastoma, unfavourable histology"	Neuroblastoma	
Release 53	"Neuroepithelial neoplasm PLAGL1-fused, not elsewhere classified"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 53	Papillary thyroid carcinoma located in the left lower lobe	Papillary Thyroid Carcinoma	
Release 53	"Papillary thyroid carcinoma, 1.3 cm, classic subtype, arising in the left lobe and isthmus with extensive lymphatic invasion involving both thyroid lobes and perithyroidal lymphatics"	Papillary Thyroid Carcinoma	
Release 53	"Papillary thyroid carcinoma, 1.5 cm, classic subtype"	Papillary Thyroid Carcinoma	
Release 53	"Papillary thyroid carcinoma, diffuse sclerosing variant, extensively involving both lobes and isthmus"	Papillary Thyroid Carcinoma	
Release 53	Pilocytic astrocytoma with high proliferative fraction. Ki67: 12%	Pilocytic astrocytoma	
Release 53	"Pilocytic astrocytoma, CNS WHO grade 1 (histologic diagnosis)"	Pilocytic astrocytoma	
Release 53	"Pineocytoma, CNS WHO grade 1"	Pineocytoma	
Release 53	"Pleomorphic xanthoastrocytoma, BRAF p.V600E mutant, WHO GRADE 2"	Pleomorphic Xanthoastrocytoma	
Release 53	Poorly differentiated high-grade malignant neoplasm with neuroendocrine differentiation	"Neoplasm, malignant"	
Release 53	Poorly differentiated neoplasm NOS (IHC and molecular pending)	"Neoplasm, NOS"	
Release 53	"Posterior fossa ependymoma with anaplastic features, group A, CNS WHO grade 3"	Posterior Fossa Group A (PFA) Ependymoma	
Release 53	"Posterior fossa ependymoma, morphologically WHO grade 3"	Posterior Fossa Ependymoma	
Release 53	"Posterior fossa group A ependymoma (PFA), WHO grade 2"	Posterior Fossa Group A (PFA) Ependymoma	
Release 53	Primary glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 53	"Rhabdomyosarcoma, embryonal histology"	Embryonal Rhabdomyosarcoma	
Release 53	Round blue cell neoplasm	"Neoplasm, NOS"	
Release 53	"Small blue cell tumor morphologicallly and immunohistochemically consistent with medulloblastoma, CNS WHO grade 4"	"Neoplasm, NOS"	
Release 53	"Small round blue cell tumor, compatible with neuroblastoma"	"Neoplasm, NOS"	
Release 53	"Small round blue cell tumor, consistent with classic medulloblastoma, CNS WHO grade 4"	"Neoplasm, NOS"	
Release 53	"Spindle cell and pleomorphic sarcoma, high grade, with extensive necrosis, not further classified"	"Sarcoma, NOS"	
Release 53	"Spindle cell neoplasm with primitive features, high mitotic and apoptotic rates, and necrosis."	"Neoplasm, NOS"	
Release 53	"Synovial sarcoma, monophasic, FNCLCC grade 2 (of 3)"	Synovial Sarcoma	
Release 53	This is an embryonic tumor whose morphology initially suggests an atypical teratoid/rhabdoid tumor (ATRT)	"Neoplasm, NOS"	
Release 53	"Ulcerated nodular malignant melanoma, invading to a breslow thickness of at least 7.5mm"	Nodular melanoma	
Release 53	"Undifferentiated neuroblastoma, Schwannian stroma poor, unfavourable histology"	Neuroblastoma	
Release 53	"Undifferentiated small round blue cell tumor, favor Ewing sarcoma, molecular confirmation pending"	"Neoplasm, NOS"	
Release 53	Undifferentiated small round cell sarcoma with BCOR genetic alteration	Sarcoma with BCOR genetic alterations	�
Release 53	"Well formed brain (1053.9 grams) with diffuse midline glioma, H3K27 altered, CNS WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 53	ZC3H7B::BCOR fusion sarcoma	Sarcoma with BCOR genetic alterations	
Release 54	"Atypical teratoid-rhabdoid tumor (AT/RT),CNS WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 54	"Biphasic synovial sarcoma, FNCLCC grade 2"	"Synovial sarcoma, biphasic"	
Release 54	Choroid plexus neoplasm with elevated Ki-67 labeling index	Choroid plexus tumor	
Release 54	"Consistent with embryonal tumor, pending additional testing"	"Neoplasm, NOS"	
Release 54	"Dermatofibrosarcoma protuberans (DFSP), present at the deep 3-6 O'clock surgical margin"	Dermatofibrosarcoma Protuberans	
Release 54	"Dermatofibrosarcoma protuberans, with extensive involvement of the deep margin"	Dermatofibrosarcoma Protuberans	
Release 54	Desmin positive neoplasm	"Neoplasm, NOS"	
Release 54	Desmoid Fibromatosis (Desmoid tumor)	Desmoid Fibromatosis	
Release 54	"Differentiated high-grade follicular derived thyroid carcinoma, 2.2 cm dominant nodule involving left lobe. Background tumor is papillary carcinoma, predominantly classic type."	"Follicular carcinoma, NOS"	
Release 54	Dysembryoplastic neuroepithelial tumor (CNS WHO grade 1)	Dysembryoplastic neuroepithelial tumor	
Release 54	"Dysembryoplastic neuroepithelial tumor with FGFR1 alteration, CNS WHO grade 1"	Dysembryoplastic neuroepithelial tumor	
Release 54	Embryonal rhabdomyosarcoma versus other sarcoma with skeletal muscle differentiation	Alveolar rhabdomyosarcoma	
Release 54	"Embryonal tumor, morphologically and phenotypically most suggestive of desmoplastic/nodular medulloblastoma"	"Embryonal Tumors, NOS"	
Release 54	"Ependymoma, supratentorial, CNS WHO grade 3"	Supratentorial Ependymoma	
Release 54	EWSR1::FLI1-rearranged superficial round cell tumor	"Neoplasm, NOS"	
Release 54	Extensive infiltration by metastatic neuroblastoma with increased fibrosis	Neuroblastoma	
Release 54	"Favor ganglioneuromatous neoplasm, pending outside neuropathology consultation"	Unknown	
Release 54	"Favor high grade glial neoplasm, pending consultation"	"Neoplasm, NOS"	
Release 54	Favor low-grade glial or glioneuronal neoplasm	Unknown	
Release 54	Features consistent with mixed germ cell tumor	Unknown	
Release 54	"Ganglioglioma, BRAF V600E mutated"	Ganglioglioma	
Release 54	"Gastrointestinal stromal tumor (GIST), succinate-dehydrogenase deficient"	Gastrointestinal stromal tumor	
Release 54	Glial neoplasm pending additional molecular analysis	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	"Glial neoplasm with histology most consistent with pilocytic astrocytoma, WHO CNS grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	"Glial neoplasm with piloid features, histologically low-grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	"Glial neoplasm, pending additional testing"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	"Glial neoplasm, pending molecular classification"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	Glioma. Pending molecular studies	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	"Glioneuronal tumor, pending molecular and methylation profiling testing for definitive diagnosis and grading"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 54	"Glioneuronal/neuronal tumor, BRAF negative by immunostain"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 54	"High grade embryonal neoplasm, pending additional studies."	"Embryonal Tumors, NOS"	
Release 54	"High grade glioma concerning for diffuse midline glioma, H3 K27-altered, CNS WHO grade 4"	"High-grade glioma, NOS or NEC"	
Release 54	"High grade glioma, IDH-wild type"	"High-grade glioma, NOS or NEC"	
Release 54	"High grade glioma, pending molecular classification"	"High-grade glioma, NOS or NEC"	
Release 54	"High-grade epithelioid and round cell sarcoma, not otherwise specified"	Epithelioid sarcoma	
Release 54	High-grade neoplasm with morphology and immunoprofile suggestive of atypical teratoid/ rhabdoid tumor	"Neoplasm, malignant"	
Release 54	"High-grade tumor with a primitive appearance, consistent with an embryonal tumor"	"Neoplasm, NOS"	
Release 54	Histologic and ultrastructural features are diagnostic of neuroblastoma	Neuroblastoma	
Release 54	Histological and immunohistochemical features consistent with rhabdomyosarcoma	Unknown	
Release 54	Hypercellular glial tissue with prominent calcifications	Unknown	
Release 54	"Infiltrating glioma, IDH1 mutant by IHC, CNS WHO Grade 2"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	Infiltrative glial neoplasm without microvascular proliferation or necrosis	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	"Low grade glioneuronal tumor, histologically suggestive of papillary glioneuronal tumor"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 54	"Low grade glioneuronal tumor, pending additional testing"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 54	"Low-grade glial/glioneuronal neoplasm, histologically, WHO grade 1."	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 54	"Low-grade glioma, histologically compatible with pilocytic astrocytoma, CNS WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 54	Low-grade infiltrating glioma	"Low-grade glioma, NOS or NEC"	
Release 54	Malignant neoplasm with primitive appearance	"Neoplasm, malignant"	
Release 54	Malignant neoplasm with rhabdoid features	"Neoplasm, malignant"	
Release 54	Malignant round and spindle cell neoplasm in abundant myxoid stroma and with foci of associated eosinophilic matrix	"Neoplasm, NOS"	
Release 54	"Malignant small round blue cell tumor, suggestive of embryonal tumor, high grade"	"Neoplasm, malignant"	
Release 54	"Medulloblastoma with classic histology, Not Otherwise Specified (NOS), CNS WHO grade 4"	Medulloblastoma	
Release 54	"Medulloblastoma, classic histology not otherwise specified"	Medulloblastoma	
Release 54	"Medulloblastoma, desmoplastic/ nodular histologic variant, SHH-activated and TP53 wildtype molecular subtype, CNS WHO grade 4"	Desmoplastic nodular medulloblastoma	
Release 54	"Medulloblastoma, non-WNT/non-SHH (Group 3 / Group 4) WHO CNS Group 4"	"Medulloblastoma, non-WNT/non-SHH"	
Release 54	"Medulloblastoma, SHH-activated, TP53-wildtype, with classical histology, CNS WHO grade 4"	"Medulloblastoma, SHH-activated and TP53-wildtype"	
Release 54	Metastatic neuroblastoma involving bilateral bone marrow	Neuroblastoma	
Release 54	Metastatic neuroblastoma involving marrow bilaterally	Neuroblastoma	
Release 54	"Myxoid liposarcoma, 4.7 cm"	Myxoid liposarcoma	
Release 54	Necrotic and hemorrhagic malignant sarcomatous tumor with rhabdomyoblastic differentiation	"Sarcoma, NOS"	
Release 54	"Neoplasm with epithelioid and papillary morphology, favor choroid plexus tumor"	"Neoplasm, NOS"	
Release 54	"Neuroblastoma (Schwannian stroma poor), poorly-differentiated with high MKI (Unfavorable histology)"	Neuroblastoma	
Release 54	"Neuroblastoma (Schwannian stroma-poor), poorly differentiated, low MKI, favorable histology"	Neuroblastoma	
Release 54	"Neuroblastoma, differentiating subtype, low mitotic-karyorrhectic index, favorable histopathology"	Neuroblastoma	
Release 54	"Neuroblastoma, poorly differentiated subtype, intermediate MKI, unfavorable histopathology, as sampled"	Neuroblastoma	
Release 54	"Neuroblastoma, poorly differentiated, high MKI, unfavorable histology"	Neuroblastoma	
Release 54	"Neuroblastoma, Schwannian stroma poor, poorly differentiated, intermediate MKI (Unfavorable histology)"	Neuroblastoma	
Release 54	"Neuroblastoma, schwannian stroma-poor. poorly differentiated."	Neuroblastoma	
Release 54	"Neuroblastoma, stroma-poor, poorly differentiated, unfavorable histology"	Neuroblastoma	
Release 54	"Neuroendocrine tumor, most consistent with neuroendocrine carcinoma"	"Neuroendocrine tumor, NOS"	
Release 54	"Papillary tumor that pineal region, WHO Grade 2-3"	Papillary tumor of pineal region	
Release 54	pending molecular characterization	Unknown	
Release 54	"Pilocytic astrocytoma, KIAA1549::BRAF fusion, WHO Grade 1"	Pilocytic astrocytoma	
Release 54	"Pleomorphic xanthoastrocytoma (PXA), CNS WHO grade 2"	Pleomorphic Xanthoastrocytoma	
Release 54	Pleuropulmonary blastoma type 2	Pleuropulmonary blastoma	
Release 54	"Pleuropulmonary blastoma, type 2 or 3"	Pleuropulmonary blastoma	
Release 54	"Poorly differentiated neuroblastoma with low mitotic karyorrhectic index (MKI), favorable histology"	Neuroblastoma	
Release 54	"Poorly differentiated neuroblastoma with low mitotic karyorrhectic index (MKI), favorable histology."	Neuroblastoma	
Release 54	"Poorly differentiated neuroblastoma, favorable histology"	Neuroblastoma	
Release 54	Poorly differentiated thyroid carcinoma with angioinvasion	"Carcinoma, NOS"	
Release 54	"Poorly-differentiated neuroblastoma, favorable histology"	Neuroblastoma	
Release 54	"Posterior fossa ependymoma, favor PFA molecular group, CNS WHO grade 2"	Posterior Fossa Ependymoma	
Release 54	"Posterior fossa ependymoma, NOS, CNS WHO grade 3"	Posterior Fossa Ependymoma	
Release 54	"Posterior fossa group A (PFA), ependymoma with extensive chondro-osseous differentiation"	Posterior Fossa Group A (PFA) Ependymoma	
Release 54	Primitive embryonal tumor with rosettes	"Embryonal Tumors, NOS"	
Release 54	Primitive mesenchymal neoplasm with pan-TRK expression by immunohistochemical stain.	"Mesenchymal Tumor, NOS"	
Release 54	"Residual medulloblastoma, histologically defined, CNS WHO grade 4"	Medulloblastoma	
Release 54	"Rhabdomyosarcoma (4.0 cm in greatest dimension), morphologically most consistent with embryonal subtype"	Rhabdomyosarcoma	
Release 54	"Rhabdomyosarcoma, favor alveolar subtype."	Rhabdomyosarcoma	
Release 54	"Rhabdomyosarcoma, paratesticular"	Rhabdomyosarcoma	
Release 54	"Serous borderline tumor (17.5 cm), right ovary"	"Serous borderline tumor, NOS"	
Release 54	"Sertoli-Leydig cell tumor, 8.0 cm in greatest dimension, intermediate grade and confined to ovary"	Sertoli-Leydig Cell Tumor	
Release 54	"Sertoli-Leydig cell tumor, poorly differentiated with heterologous skeletal muscle elements"	Sertoli-Leydig Cell Tumor	
Release 54	"Small fragments of low-grade glioma most consistent with pilomyxoid astrocytoma, CNS WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 54	"Small round blue cell tumor, features consistent with pineoblastoma"	"Neoplasm, NOS"	
Release 54	Solid pseudopapillary neoplasm involving distal pancreas tail	Solid Pseudopapillary Neoplasm of the Pancreas	
Release 54	"Subependymal giant cell astrocytoma (SEGA), CNS WHO grade 1"	Subependymal giant cell astrocytoma	
Release 54	Well-differentiated neuroendocrine tumor (carcinoid tumor)	"Neuroendocrine tumor, NOS"	
Release 54	"Yolk sac tumor (malignant germ cell tumor), arising in the setting of down syndrome."	Yolk Sac Tumor	
Release 56	"Adamantinomatous craniopharyngioma, CNS WHO grade 1, negative for BRAF V600E mutation"	Adamantinomatous craniopharyngioma	
Release 56	Alveolar rhabdomyosarcoma with extensive necrosis	Alveolar rhabdomyosarcoma	
Release 56	At least one of five lymph nodes involved by spitz melanoma (2.3 cm metastatic deposit)	Malignant Spitz Tumor	"ask Pat to add Preferred term ""Malignant Spitz Tumor"", else use ""Spitzoid Melanoma"" which is ICD-O synonym"
Release 56	"Atypical spitz tumor, completely excised"	"Neoplasm, NOS"	ask Pat for help with mapping
Release 56	Atypical teratoid/rahbdoid tumor	Atypical teratoid/rhabdoid tumor	
Release 56	"Cellular glial lesion compatible with glioma, favor pilocytic astrocytoma"	Unknown	
Release 56	Central neurocytoma with elevated KI-67 proliferation index	Central neurocytoma	
Release 56	Circumscribed glial/glioneuronal neoplasm with high grade features	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	Clear cell carcinoma	"Carcinoma, NOS"	
Release 56	"Compatible with medulloblastoma, pending expert consultation"	Unknown	
Release 56	Consistent with high-grade sarcoma	Unknown	
Release 56	Consistent with poorly differentiated chordoma	Unknown	
Release 56	"consistent with supratentorial ependymoma, WHO grade 2."	Unknown	
Release 56	Desmoplastic nodular medulloblastoma (WHO grade 4)	Desmoplastic nodular medulloblastoma	
Release 56	Desmoplastic/nodular medulloblastoma (WHO grade 4)	Desmoplastic nodular medulloblastoma	
Release 56	"Diffuse astrocytoma, MYBL1-altered (CNS WHO grade 1)"	"Diffuse astrocytoma, MYB- or MYBL1-altered"	
Release 56	Diffuse glial / glioneuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"Diffuse hemispheric glioma, H3 G 34-mutant, CNS WHO grade 4"	"Diffuse Hemispheric Glioma, H3 G34-mutant"	
Release 56	"DUX4 associated undifferentiated sarcoma, FNCLCC grade 3 out of 3"	"Sarcoma, NOS"	
Release 56	"Embryonal neoplasm, morphologically compatible with medulloblastoma."	"Embryonal Tumors, NOS"	
Release 56	Ependymoma with extensive necrosis	"Ependymoma, NOS"	
Release 56	"Epstein-Barr Virus (EBV) - positive nasopharyngeal carcinoma, undifferentiated non-keratinizing type"	Nasopharyngeal Carcinoma	
Release 56	Favor low-grade glioma	"Neoplasm, NOS"	
Release 56	Favor myxopapillary ependymoma	Myxopapillary ependymoma	
Release 56	Favor pineal parenchymal tumour of intermediate differentiation.	Unknown	
Release 56	Features consistent with neuroblastoma.	Unknown	
Release 56	"Fibrous meningioma, WHO grade 1"	Fibrous meningioma	
Release 56	Findings most compatible with embryonal rhabdomyosarcoma	Unknown	
Release 56	"Ganglioglioma, H3K27-M mutant"	Ganglioglioma	
Release 56	"Ganglioglioma, positive for BRAF V600E mutant protein expression, CNS WHO grade 1"	Ganglioglioma	
Release 56	"Glial neoplasm, differential diagnosis includes astrocytoma with intermediate grade features, and others"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"Glial neoplasm, low grade histology with BRAF V600 E mutation"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	Glial/neuronal tumor with abundant calcification	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"Glioma with piloid features and BRAF-V600E mutation by immunohistochemistry, pending molecular characterization"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"H3K27M-mutant (by IHC) glioma, WHO grade 3-4."	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	"High grade glioma, H3 K27M mutated by immunohistochemistry"	"High-grade glioma, NOS or NEC"	
Release 56	"High grade poorly differentiated malignancy, favor rhabdomyosarcoma"	"Neoplasm, malignant"	
Release 56	High grade primitive malignant neoplasm	"Neoplasm, malignant"	
Release 56	"High grade sarcoma, CD99 positive"	High Grade Sarcoma	
Release 56	"High grade tumor with prominent anaplasia, foci of necrosis and focal calcification"	"Neoplasm, malignant"	
Release 56	"High-grade diffuse glial neoplasm, not otherwise specified"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 56	High-grade glioma with pleomorphic features	"High-grade glioma, NOS or NEC"	
Release 56	High-grade malignant embryonal neoplasm	"Embryonal Tumors, NOS"	
Release 56	High-grade malignant neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
